EXPRESS_|_CH1129850116_|_13/12/21_|_13/09/23_|_LQ_|_INTESA_|_ISP.MI_|_2.394_|_1.4364_|_2.4000000953674316_|_-0.006_|_1163.56_|_1173.56
_|__|__|__|__|_UNICREDIT_|_UCG.MI_|_10.89_|_6.5364_|_21.264999389648438_|_-2.383_|__|_
"10_|_00    T"_|_CH1134495063_|_27/12/21_|_24/09/24_|_LQ_|_BMW_|_BMW.DE_|_81.59_|_48.954_|_112.5199966430664_|_-0.947_|_963.43_|_973.43
_|__|__|__|__|_MERCEDES_|_MBG.DE_|_61.874_|_37.1244_|_73.66999816894531_|_-0.476_|__|_
_|__|__|__|__|_VOLKSWAG_|_VOW3.DE_|_189.38_|_113.628_|_122.94000244140625_|_0.877_|__|_
"7_|_50    T"_|_CH1134498372_|_28/12/21_|_28/09/26_|_LQ_|_ENI_|_ENI.MI_|_11.186_|_7.2709_|_13.182000160217285_|_-0.509_|_890.58_|_905.58
_|__|__|__|__|_FINECO_|_FBK.MI_|_16.045_|_10.429_|_12.3149995803833_|_0.664_|__|_
_|__|__|__|__|_INTESA_|_ISP.MI_|_2.472_|_1.6068_|_2.4000000953674316_|_0.083_|__|_
"2_|_92    T"_|_DE000HV4FA47_|_02/11/20_|_07/08/24_|_UNI_|_FTSE MIB_|_FTSEMIB.MI_|_19228.0_|_12498.0_|_28231.0_|_-1.337_|_n.d._|_n.d.
"36_|_36    M"_|_DE000VV1KCG7_|_30/05/22_|_27/12/23_|_VON_|_DELIV HERO_|_DHER.DE_|_28.62_|_17.172_|_40.404998779296875_|_-1.029_|_n.d._|_n.d.
_|__|__|__|__|_HELLO FR_|_HFG.DE_|_32.32_|_19.392_|_22.600000381469727_|_0.751_|__|_
EXPRESS_|_CH1134498331_|_05/01/22_|_05/10/26_|_LQ_|_ENEL_|_ENEL.MI_|_6.738_|_3.369_|_6.168000221252441_|_0.169_|_1085.61_|_1095.61
_|__|__|__|__|_INTESA_|_ISP.MI_|_2.4215_|_1.21075_|_2.4000000953674316_|_0.017_|__|_
_|__|__|__|__|_STELLANTIS_|_STLAM.MI_|_16.138_|_8.069_|_16.09000015258789_|_0.005_|__|_
"9_|_80    T"_|_DE000HB0ST13_|_20/01/22_|_16/10/25_|_UNI_|_BPM_|_BAMI.MI_|_2.965_|_1.779_|_4.25_|_-1.083_|_n.d._|_n.d.
_|__|__|__|__|_DB_|_DBK.DE_|_11.646_|_6.9876_|_9.618000030517578_|_0.435_|__|_
_|__|__|__|__|_SG_|_GLE.PA_|_28.71_|_17.226_|_23.799999237060547_|_0.427_|__|_
"13_|_20    M"_|_DE000HC1C4T4_|_17/11/22_|_16/10/25_|_UNI_|_BNP_|_BNP.PA_|_47.285_|_28.371_|_57.720001220703125_|_-0.551_|_n.d._|_"100_|_3"
_|__|__|__|__|_DB_|_DBK.DE_|_9.826_|_5.9856_|_9.618000030517578_|_0.054_|__|_
_|__|__|__|__|_SG_|_GLE.PA_|_22.925_|_13.755_|_23.799999237060547_|_-0.095_|__|_
"15_|_60    M"_|_DE000HC1C558_|_17/11/22_|_16/10/25_|_UNI_|_DIASORIN_|_DIA.MI_|_129.1_|_77.46_|_95.4000015258789_|_0.652_|_n.d._|_n.d.
_|__|__|__|__|_LEONARDO_|_LDO.MI_|_8.082_|_4.8492_|_10.395000457763672_|_-0.715_|__|_
_|__|__|__|__|_STELLANTIS_|_STLAM.MI_|_13.564_|_8.1384_|_16.09000015258789_|_-0.465_|__|_
"4_|_40    T"_|_XS1996181563_|_23/12/19_|_25/09/23_|_BNP_|_UNICREDIT_|_UCG.MI_|_10.804_|_5.402_|_21.264999389648438_|_-1.936_|_"99_|_49"_|_bid-only!
"6_|_85    A"_|_XS2278330928_|_31/05/22_|_22/05/26_|_SG_|_INTESA_|_ISP.MI_|_2.4165_|_1.69155_|_2.4000000953674316_|_0.022_|_"76_|_5"_|_"103_|_48"
"8_|_64    M"_|_XS2311679190_|_01/11/21_|_01/10/24_|_BNP_|_AIRFR KLM_|_AF.PA_|_2.1722_|_1.0861_|_1.7230000495910645_|_0.413_|_"89_|_57"_|_"90_|_57"
_|__|__|__|__|_LUFTHANSA_|_LHA.DE_|_6.23_|_3.115_|_9.378999710083008_|_-1.01_|__|_
_|__|__|__|__|_STELLANTIS_|_STLAM.MI_|_16.27_|_8.135_|_16.09000015258789_|_0.022_|__|_
"18_|_00    M"_|_DE000HC1C541_|_31/10/22_|_17/10/25_|_UNI_|_PORSCHE_|_PAH3.DE_|_57.02_|_34.212_|_55.15999984741211_|_0.081_|_Sito non risponde_|_Sito non risponde
_|__|__|__|__|_FERRARI_|_RACE.MI_|_198.9_|_119.34_|_299.5_|_-1.264_|__|_
_|__|__|__|__|_TESLA_|_TSLA_|_228.52_|_137.112_|_261.7699890136719_|_-0.363_|__|_
"12_|_00    M"_|_CH1233006407_|_28/12/22_|_11/11/24_|_LQ_|_ENI_|_ENI.MI_|_14.324_|_7162.0_|_13.182000160217285_|_0.0_|_1000.79_|_1010.79
_|__|__|__|__|_ENEL_|_ENEL.MI_|_5.134_|_2.567_|_6.168000221252441_|_-0.402_|__|_
_|__|__|__|__|_INTESA_|_ISP.MI_|_2.122_|_1.061_|_2.4000000953674316_|_-0.262_|__|_
